Código;Especie;Nombre común/vulgar;Medio;Familia;Clases;Origen;Endemicidad;Imagen
F00404;Aeonium aizoon (Bolle) T. Mes;Bea de Güímar;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00380;Aeonium appendiculatum Bañares;Bejeque puntero gomero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;9
F02362;Aeonium arboreum (L.) Webb & Berthel.;Bejeque arbóreo;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00347;Aeonium arboreum (L.) Webb & Berthel. subsp. arboreum;Bejeque  pastelera  pastel de risco;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F02363;Aeonium arboreum (L.) Webb & Berthel. subsp. holochrysum (H.Y. Liu) Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;16
F00405;Aeonium aureum (C. Sm. ex Hornem.) T. Mes;Bea dorada  pastel de risco;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;4
F00348;Aeonium balsamiferum Webb & Berthel.;Bejeque farrobo  farroba  potera  alfarroba;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;4
F02367;Aeonium canariense (L.) Webb & Berthel.;Góngaro canario;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
F02364;Aeonium canariense (L.) Webb & Berthel. subsp. canariense;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00349;Aeonium canariense (L.) Webb & Berthel. subsp. christii (Burchard) Bañares;Oreja del abad  bejeque  bejeque tabaquero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;3
F02365;Aeonium canariense (L.) Webb & Berthel. subsp. latifolium (Burchard) Bañares;Pastel de Risco;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;6
F02366;Aeonium canariense (L.) Webb & Berthel. subsp. virgineum (Webb ex Christ) Bañares;Góngaro canario;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00350;Aeonium castello-paivae Bolle;Bejequillo gomero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00351;Aeonium ciliatum (Willd.) Webb & Berthel.;Bejeque de Anaga;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00607;Aeonium cuneatum Webb & Berthel.;Góngaro de Anaga;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00353;Aeonium davidbramwellii H. Y. Liu;Bejeque palmero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00354;Aeonium decorum Webb ex Bolle;Bejequillo ornado;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00406;Aeonium diplocyclum (Webb ex Bolle) T. Mes;Bea simple  orejones  bejeque;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00407;Aeonium dodrantale (Willd.) T. Mes;Bea tinerfeña;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
F00355;Aeonium gomerense (Praeger) Praeger;Bejeque gomero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;9
F00356;Aeonium goochiae Webb & Berthel.;Bejequillo melero  melera;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
F00357;Aeonium haworthii Salm-Dyck ex Webb & Berthel.;Bejequillo tinerfeño;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;8
F00358;Aeonium hierrense (R. P. Murray) Pit. & Proust;Bejeque sanjora;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00360;Aeonium lancerottense (Praeger) Praeger;Bejeque del malpaís  hierbapuntera  verol dulce;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;4
F02357;Aeonium lindleyi Webb & Berthel.;Bejequillo gomereta;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00361;Aeonium lindleyi Webb & Berthel. subsp. lindleyi;Higuerita  higuereta;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;11
F02261;Aeonium lindleyi Webb & Berthel. subsp. viscatum (Bolle) Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;No endémico;3
E09201;Aeonium liui Arango;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
E08038;Aeonium mascaense Bramwell;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00364;Aeonium nobile (Praeger) Praeger;Bejeque rojo  bejeque noble;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
F00366;Aeonium percarneum (R. P. Murray) Pit. & Proust.;Bejeque rosado;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00367;Aeonium pseudurbicum Bañares;Bejeque puntero de Chío;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;4
F00369;Aeonium saundersii Bolle;Bejequillo peludo de La Gomera;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;4
F00370;Aeonium sedifolium (Webb ex Bolle) Pit. & Proust;Bejequillo menudo;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
F00371;Aeonium simsii (Sweet) Stearn;Góngaro flor de piedra;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
F00372;Aeonium smithii (Sims) Webb & Berthel.;Bejequillo peludo de Tenerife  pastel de risco;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
F00373;Aeonium spathulatum (Hornem.) Praeger;Bejequillo canario;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;17
F00375;Aeonium tabulaeforme (Haw.) Webb & Berthel.;Góngaro pastel de risco;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;8
F00608;Aeonium undulatum Webb & Berthel.;Bejeque de Gran Canaria;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;3
F00377;Aeonium urbicum (C. Sm. ex Hornem.) Webb & Berthel.;Bejeque puntero de Tenerife  verode  bejeque  verol de costa;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
E08912;Aeonium urbicum (C. Sm. ex Hornem.) Webb & Berthel. subsp. meridionale (Bañares) Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00378;Aeonium valverdense (Praeger) Praeger;Bejeque herreño;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00606;Aeonium volkerii E. Hernández & Bañares;Bejeque de San Andrés;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;6
F02173;Agapanthus praecox Willd.;;Terrestre;Amaryllidaceae;Liliopsida;ISN;No endémico;null
F01769;Agapanthus praecox Willd. subsp. orientalis (F. M. Leight.) F. M. Leight.;Agapanto azul;Terrestre;Amaryllidaceae;Liliopsida;ISN;No endémico;3
E02563;Agardhiella tenera (J. Agardh) F. Schmitz;;Marino;Solieriaceae;Florideophyceae;;---;null
F00962;Agave americana L.;Pitera común  Pita;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;8
E09137;Agave angustifolia Haw.;;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;3
E08925;Agave attenuata Salm-Dyck;Cuello de cisne;Terrestre;Asparagaceae;Liliopsida;ISF;No endémico;2
E09143;Agave filifera Salm-Dyck;;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;null
F01738;Agave fourcroydes Lem.;Pitón  Henequén;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;7
E09135;Agave franzosinii (Sprenger) P. Sewell;;Terrestre;Asparagaceae;Liliopsida;ISF;No endémico;null
E09141;Agave lechuguilla Torr.;;Terrestre;Asparagaceae;Liliopsida;ISP;No endémico;null
E09138;Agave macroacantha Zucc.;;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;1
E09136;Agave murpheyi F. Gibson;;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;null
E09142;Agave oteroi G.D.Starr & T.J.Davis;;Terrestre;Asparagaceae;Liliopsida;ISP;No endémico;null
F01126;Agave salmiana Otto ex Salm-Dyck;Pitera armada;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;6
F01739;Agave sisalana (Engelm.) Perr.;Sisal;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;5
E09140;Agave vivipara L.;;Terrestre;Asparagaceae;Liliopsida;ISI;No endémico;null
F01416;Ageratina adenophora (Spreng.) R. M. King & H. Rob.;Matoespuma  jediondo  hierba negra  flor de espuma  espumadera;Terrestre;Asteraceae;Magnoliopsida;ISI;No endémico;2
