Código;Especie;Nombre común/vulgar;Medio;Familia;Clases;Origen;Endemicidad;Imagen
C00226;Cyclodictyon laetevirens (Hook. & Taylor) Mitt.;;Terrestre;Pilotrichaceae;Bryopsida;NP;No endémico;null
F00823;Cyclospermum leptophyllum (Pers.) Sprague ex Britton & Wilson;;Terrestre;Apiaceae;Magnoliopsida;ISN;No endémico;null
F00437;Cydonia oblonga Mill.;Membrillero;Terrestre;Rosaceae;Magnoliopsida;ISN;No endémico;null
E08383;Cylindropuntia bigelovii (Engelm.) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISN;No endémico;null
E08046;Cylindropuntia fulgida (Engelm.) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISI;No endémico;2
E08384;Cylindropuntia imbricata (Haw.) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISN;No endémico;null
E07189;Cylindropuntia pallida (Rose) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISI;No endémico;5
E06948;Cylindropuntia prolifera (Engelm.) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISI;No endémico;8
E08047;Cylindropuntia tunicata (Lehm.) F.M. Knuth;;Terrestre;Cactaceae;Magnoliopsida;ISI;No endémico;2
F01214;Cymbalaria muralis G. Gaertn.  B. Mey. & Scherb.;Flor de muralla  palomilla de muro;Terrestre;Plantaginaceae;Magnoliopsida;ISN;No endémico;3
E04120;Cymodocea nodosa (Ucria) Ascherson;Seba;Marino;Cymodoceae;Liliopsida;NS;No endémico;1
E01184;Cymopolia barbata (Linnaeus) J.V. Lamouroux;Pincel de mar;Marino;Dasycladaceae;Ulvophyceae;NS;No endémico;2
F01075;Cynanchum acutum L.;Matacán;Terrestre;Apocynaceae;Magnoliopsida;ISN;No endémico;null
F01544;Cynara cardunculus L.;Alcachofa silvestre;Terrestre;Asteraceae;Magnoliopsida;NS;No endémico;4
F01545;Cynara humilis L.;Alcachofilla;Terrestre;Asteraceae;Magnoliopsida;NP;No endémico;null
F01931;Cynodon dactylon (L.) Pers.;Césped común  Grama  Pata gallina  Greña;Terrestre;Poaceae;Liliopsida;ISI;No endémico;null
C00227;Cynodontium bruntonii (Sm.) Bruch & Schimp.;;Terrestre;Rhabdoweisiaceae;Bryopsida;NP;No endémico;null
F01169;Cynoglossum creticum Mill.;Lenguaperro;Terrestre;Boraginaceae;Magnoliopsida;NP;No endémico;1
F02313;Cynomorium coccineum L.;;Terrestre;Cynomoriaceae;Magnoliopsida;NP;No endémico;null
F00756;Cynomorium coccineum L. subsp. coccineum;Pingatierra;Terrestre;Cynomoriaceae;Magnoliopsida;NP;No endémico;1
F01932;Cynosurus echinatus L.;Colaperro estrellada  Cola de perro  Pasto;Terrestre;Poaceae;Liliopsida;NP;No endémico;2
F01933;Cynosurus effusus Link in Schrad.;Colaperro;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01837;Cyperus alopecuroides Rottb.;Juncia colazorro;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
E04482;Cyperus brevifolius (Rottb.) Hassk.;;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
F01838;Cyperus capitatus Vand.;Juncia marina  Junquillo;Terrestre;Cyperaceae;Liliopsida;NS;No endémico;3
F01844;Cyperus distachyos All.;Juncia desnuda oscura;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
F01839;Cyperus eragrostis Lam.;Juncia amorosa;Terrestre;Cyperaceae;Liliopsida;IP;No endémico;null
F01840;Cyperus esculentus L.;Chufa;Terrestre;Cyperaceae;Liliopsida;ISN;No endémico;null
F01841;Cyperus fuscus L.;Juncia negra;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
E06838;Cyperus gracilis R. Br.;;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
F01842;Cyperus involucratus Rottb.;Juncia paragüitas;Terrestre;Cyperaceae;Liliopsida;ISI;No endémico;null
F02156;Cyperus laevigatus L.;;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
F01843;Cyperus laevigatus L. subsp. laevigatus;Juncia desnuda clara;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;4
F01845;Cyperus longus L.;Juncia olorosa;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
F01846;Cyperus michelianus (L.) Link;Juncia enana;Terrestre;Cyperaceae;Liliopsida;NP;No endémico;null
E07444;Cyperus mundii (Nees) Kunth;;Terrestre;Cyperaceae;Liliopsida;IP;No endémico;null
F01853;Cyperus polystachyos Rottb.;Juncilla abigarrada;Terrestre;Cyperaceae;Liliopsida;IP;No endémico;null
F01847;Cyperus rotundus L.;Jucia batatillera;Terrestre;Cyperaceae;Liliopsida;ISN;No endémico;null
F01848;Cyperus rubicundus Vahl;Juncia rubia;Terrestre;Cyperaceae;Liliopsida;NS;No endémico;1
F00048;Cyrtomium falcatum (L. f.) C. Presl;Helecho de berraza;Terrestre;Dryopteridaceae;Filicopsida;ISI;No endémico;6
F02146;Cystopteris diaphana (Bory) Blasdell;;Terrestre;Cystopteridaceae;Filicopsida;NS;No endémico;null
E06829;Cystopteris diaphana (Bory) Blasdell ssp. cleoae (A. Peroni & G. Peroni) A. Peroni & G. Peroni;;Terrestre;Cystopteridaceae;Filicopsida;NS;No endémico;null
F00046;Cystopteris fragilis (L.) Bernh.;Helecho de manantial;Terrestre;Cystopteridaceae;Filicopsida;NS;No endémico;2
F00757;Cytinus hypocistis (L.) L.;Melera de jaguarzo  putigas;Terrestre;Cytinaceae;Magnoliopsida;NP;No endémico;2
F00758;Cytinus ruber Fourr. ex Fritsch;Melera roja;Terrestre;Cytinaceae;Magnoliopsida;NP;No endémico;null
F00494;Cytisus scoparius (L.) Link;Retama negra  retamón;Terrestre;Fabaceae;Magnoliopsida;ISI;No endémico;7
F02217;Dactylis glomerata L.;;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F01934;Dactylis glomerata L. subsp. glomerata;Jopillo áspero;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F02396;Dactylis glomerata L. subsp. hispanica (Roth) Nyman;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02074;Dactylis metlesicsii Schönfelder & Ludwig;Jopillo de cumbre;Terrestre;Poaceae;Liliopsida;NS;Endémico;1
F02153;Dactylis smithii Link in Buch;;Terrestre;Poaceae;Liliopsida;NS;No endémico;null
F01936;Dactylis smithii Link in Buch subsp. hylodes P. F. Parker;Jopillo de monte;Terrestre;Poaceae;Liliopsida;NS;No endémico;2
F01935;Dactylis smithii Link in Buch subsp. smithii;Jopillo canario;Terrestre;Poaceae;Liliopsida;NS;No endémico;null
F00801;Daphne gnidium L.;Torvisco  trovisco  torvisca;Terrestre;Thymelaeaceae;Magnoliopsida;NS;No endémico;3
E02438;Dasya baillouviana (S.G. Gmelin) Montagne;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;2
E02441;Dasya caraibica Børgesen;;Marino;Dasyaceae;Florideophyceae;NS;No endémico;null
E02443;Dasya corymbifera J. Agardh;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;null
E02445;Dasya crouaniana J. Agardh;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;null
E02447;Dasya hutchinsiae Harvey;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;null
E02450;Dasya ocellata (Grateloup) Harvey;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;null
E02453;Dasya rigidula (Kützing) Ardissone;;Marino;Dasyaceae;Florideophyceae;NP;No endémico;null
E01193;Dasycladus vermicularis (Scopoli) Krasser;Clavo de mar;Marino;Dasycladaceae;Ulvophyceae;NS;No endémico;3
E06822;Datura ferox L.;;Terrestre;Solanaceae;Magnoliopsida;ISN;No endémico;null
F01099;Datura innoxia Mill.;Burladora  metel;Terrestre;Solanaceae;Magnoliopsida;ISN;No endémico;5
F01100;Datura stramonium L.;Estramonio  hierba del diablo  toloache;Terrestre;Solanaceae;Magnoliopsida;ISN;No endémico;3
F00828;Daucus aureus Desf.;Zanahoria dorada;Terrestre;Apiaceae;Magnoliopsida;NP;No endémico;null
F02218;Daucus carota L.;;Terrestre;Apiaceae;Magnoliopsida;NP;No endémico;null
F00829;Daucus carota L. subsp. maximus (Desf.) Ball;Zanahoria silvestre;Terrestre;Apiaceae;Magnoliopsida;NP;No endémico;2
F00830;Daucus durieua Lange in Willk. & Lange;;Terrestre;Apiaceae;Magnoliopsida;IP;No endémico;null
F00827;Daucus elegans (Webb ex Bolle) Spalik  Banasiak & Reduron;Perejil de monteverde;Terrestre;Apiaceae;Magnoliopsida;NS;Endémico;null
E03278;Daucus pumilus (L.) Hoffmanns. & Link;;Terrestre;Apiaceae;Magnoliopsida;IP;No endémico;null
F00055;Davallia canariensis (L.) Sm.;Helecho batatilla  helechillo  cochinilla  rabo de cochino;Terrestre;Davalliaceae;Filicopsida;NS;No endémico;3
F01663;Delairea odorata Lem.;Yedra alemana;Terrestre;Asteraceae;Magnoliopsida;ISI;No endémico;1
F02062;Delosperma brunnthaleri (A. Berger) Schwantes ex H. Jacobsen;;Terrestre;Aizoaceae;Magnoliopsida;ISN;No endémico;null
F00438;Dendriopoterium menendezii Svent.;Algafitón de Tamadaba  rosalillo;Terrestre;Rosaceae;Magnoliopsida;NS;Endémico;2
F00439;Dendriopoterium pulidoi Svent. ex Bramwell;Algafitón de La Aldea;Terrestre;Rosaceae;Magnoliopsida;NS;Endémico;4
E00608;Derbesia marina (Lyngbye) Solier;;Marino;Derbesiaceae;Ulvophyceae;NS;No endémico;null
E00614;Derbesia tenuissima (Moris & De Notaris) P. Crouan & H. Crouan;;Marino;Derbesiaceae;Ulvophyceae;NS;No endémico;null
E03503;Dermocorynus dichotomus (J. Agardh) Gargiulo  M. Morabito et Manghisi;;Marino;Halymeniaceae;Florideophyceae;NP;No endémico;null
F00928;Descurainia artemisioides Svent.;Mostaza de Guayedra  hierba pajonera  pajonera;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;4
F00929;Descurainia bourgeauana (E. Fourn.) O. E. Schulz;Pajonera de cumbre  hierba pajonera;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;5
F00930;Descurainia gilva Svent.;Pajonera palmera;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;null
F00931;Descurainia gonzalesii Svent.;Pajonera de pinar;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;1
F00932;Descurainia lemsii Bramwell;Pajonera de Ayosa  hierba pajonera;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;4
F00933;Descurainia millefolia (Jacq.) Webb & Berthel.;Pajonera canaria;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;4
F00934;Descurainia preauxiana (Webb) O. E. Schulz;Mostaza de risco;Terrestre;Brassicaceae;Magnoliopsida;NS;Endémico;1
F00461;Desmanthus pernambucanus (L.) Thell.;Tantán salvaje;Terrestre;Fabaceae;Magnoliopsida;ISN;No endémico;2
C00254;Dialytrichia mucronata (Brid.) Broth.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
F02350;Dichanthium annulatum (Forssk.) Stapf in Prain;;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F01950;Dichanthium foveolatum (Delile) Roberty;Pasto del desierto;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F00161;Dicheranthus plocamoides Webb;Falso balo de risco  pata de gallina;Terrestre;Caryophyllaceae;Magnoliopsida;NS;Endémico;5
F01153;Dichondra micrantha Urb.;Césped de riñón;Terrestre;Convolvulaceae;Magnoliopsida;ISN;No endémico;null
E03555;Dichotomaria obtusata (Ellis & Solander) Lamarck;;Marino;Galaxauraceae;Florideophyceae;NP;No endémico;null
C00229;Dicranella heteromalla (Hedw.) Schimp.;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
E00015;Dicranella howei Renauld & Cardot;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
E00021;Dicranella staphylina H.Whitehouse;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
C00252;Dicranella varia (Hedw.) Schimp.;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
C00230;Dicranoweisia cirrata (Hedw.) Lindb.;;Terrestre;Rhabdoweisiaceae;Bryopsida;NP;No endémico;1
C00233;Dicranum canariense Hampe ex Müll. Hal.;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
C00231;Dicranum flagellare Hedw.;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;null
C00232;Dicranum scoparium Hedw.;;Terrestre;Dicranaceae;Bryopsida;NP;No endémico;1
E05923;Dictyosphaeria ocellata (M. Howe) Olsen-Stojkovich;;Marino;Siphonocladaceae;Ulvophyceae;NS;No endémico;null
C00234;Didymodon acutus (Brid.) K.Saito;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00235;Didymodon australasiae (Hook. & Grev.) R.H.Zander;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E08595;Didymodon brachyphyllus (Sull.) R.H.Zander;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00236;Didymodon fallax (Hedw.) R.H.Zander;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E00025;Didymodon insulanus (De Not.) M.O.Hill;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00237;Didymodon luridus Hornsch.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E00026;Didymodon nicholsonii Culm.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00238;Didymodon rigidulus Hedw.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E00008;Didymodon sicculus M.J.Cano  Ros  García-Zamora & J.Guerra;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00239;Didymodon tophaceus (Brid.) Lisa;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E00027;Didymodon umbrosus (Müll.Hal.) R.H.Zander;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00240;Didymodon vinealis (Brid.) R.H.Zander;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
E02615;Digenea simplex (Wulfen) C. Agardh;;Marino;Rhodomelaceae;Florideophyceae;NS;No endémico;3
F01215;Digitalis purpurea L.;Dedalera púrpura;Terrestre;Plantaginaceae;Magnoliopsida;ISN;No endémico;5
E06817;Digitalis purpurea purpurea L.;;Terrestre;Plantaginaceae;Magnoliopsida;ISN;No endémico;null
F01938;Digitaria ciliaris (Retz.) Koeler;Garranguelo de pestañas;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01939;Digitaria nodosa Parl.;Garranchuelo de nudos;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
E01373;Digitaria nuda Schumach;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02167;Digitaria radicosa (C. Presl) Miq.;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01940;Digitaria sanguinalis (L.) Scop.;Garranchuelo de sangre;Terrestre;Poaceae;Liliopsida;ISI;No endémico;null
E01385;Digitaria violascens Link;;Terrestre;Poaceae;Liliopsida;ISI;No endémico;null
F01794;Dipcadi serotinum (L.) Medik.;Tarabaste gato;Terrestre;Asparagaceae;Liliopsida;NP;No endémico;4
E07370;Diphyscium foliosum (Hedw.) D. Mohr;;Terrestre;Diphysciaceae;Bryopsida;NP;No endémico;null
F02070;Diplachne fusca (L.) P. Beauv. ex Roem. & Schult.;Joyo fino;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
E08694;Diplachne fusca (L.) P. Beaux. ex Roem. & Schult. subsp. uninervia (J. Presl) P. M. Peterson & N. Snow;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F00047;Diplazium caudatum (Cav.) Jermy;Helecho de monte pírgano negro helecho de sombra;Terrestre;Athyriaceae;Filicopsida;NS;No endémico;8
C00023;Diplophyllum albicans (L.) Dumort.;;Terrestre;Scapaniaceae;Jungermanniopsida;NP;No endémico;null
F00935;Diplotaxis catholica (L.) DC.;Jaramago;Terrestre;Brassicaceae;Magnoliopsida;NP;No endémico;null
F01365;Diplotaxis muralis (L.) DC.;;Terrestre;Brassicaceae;Magnoliopsida;NP;No endémico;null
E06856;Diplotaxis tenuifolia (L.) DC.;Rúcula;Terrestre;Brassicaceae;Magnoliopsida;ISN;No endémico;null
E02297;Diplothamnion jolyi C. Hoek;;Marino;Wrangeliaceae;Florideophyceae;NP;No endémico;null
F01048;Dipsacus fullonum L.;Cardencha;Terrestre;Dipsacaceae;Magnoliopsida;ISN;No endémico;null
E02618;Dipterosiphonia dendritica (C. Agardh) F. Schmitz;;Marino;Rhodomelaceae;Florideophyceae;NS;No endémico;null
E02622;Dipterosiphonia reversa C.W. Schneider;;Marino;Rhodomelaceae;Florideophyceae;NS;No endémico;null
E02625;Dipterosiphonia rigens (Schousboe ex C. Agardh) Falkenberg;;Marino;Rhodomelaceae;Florideophyceae;NS;No endémico;null
E08390;Disocactus speciosus (Cav.) Barthlott;;Terrestre;Cactaceae;Magnoliopsida;ISN;No endémico;null
F00081;Disphyma crassifolium (L.) L. Bolus;;Terrestre;Aizoaceae;Magnoliopsida;ISN;No endémico;null
E08588;Distichium capillaceum (Hedw.) Bruch & Schimp.;;Terrestre;Ditrichaceae;Bryopsida;NP;No endémico;null
F01282;Distictis buccinatoria (DC.) A.H.Gentry;Trompetero mexicano;Terrestre;Bignoniaceae;Magnoliopsida;ISN;No endémico;1
C00242;Ditrichum pusillum (Hedw.) Hampe;;Terrestre;Ditrichaceae;Bryopsida;NP;No endémico;null
C00243;Ditrichum subulatum Hampe;;Terrestre;Ditrichaceae;Bryopsida;NP;No endémico;null
F01546;Dittrichia viscosa (L.) Greuter;Altabaca  matamoscas;Terrestre;Asteraceae;Magnoliopsida;NP;No endémico;1
F00496;Dorycnium broussonetii (Choisy ex Ser. in DC.) Webb & Berthel.;Trébol de risco de Broussonet;Terrestre;Fabaceae;Magnoliopsida;NS;Endémico;1
F00497;Dorycnium eriophthalmum Webb & Berthel.;Trébol de risco blanco;Terrestre;Fabaceae;Magnoliopsida;NS;Endémico;6
F00498;Dorycnium spectabile (Choisy ex Ser. in DC.) Webb & Berthel.;Trébol de risco rosado;Terrestre;Fabaceae;Magnoliopsida;NS;Endémico;9
F02220;Dracaena draco L.;Drago;Terrestre;Asparagaceae;Liliopsida;NS;No endémico;7
F01736;Dracaena draco L. subsp. draco;Drago;Terrestre;Asparagaceae;Liliopsida;NS;No endémico;6
F02149;Dracaena tamaranae Marrero Rodr.  Almeida-Pérez & González-Martín;Drago de Gran Canaria;Terrestre;Asparagaceae;Liliopsida;NS;Endémico;4
F01302;Dracocephalum thymiflorum L.;Cabeza de dragón;Terrestre;Lamiaceae;Magnoliopsida;ISN;No endémico;null
F01869;Dracunculus canariensis Kunth;Taraguntia  taragontía;Terrestre;Araceae;Liliopsida;NS;Endémico;3
C00024;Drepanolejeunea hamatifolia (Hook.) Schiffn.;;Terrestre;Lejeuneaceae;Jungermanniopsida;NP;No endémico;null
E05101;Drimia hesperia (Webb & Berthel.) J. C. Manning & Goldblatt;;Terrestre;Asparagaceae;Liliopsida;NS;Endémico;null
F01750;Drimia maritima (L.) Stearn;Cebolla almorrana desnuda  Escila  Cebolla marina;Terrestre;Asparagaceae;Liliopsida;NS;No endémico;6
F01756;Drimiopsis maculata Lindl.;Cebolleta de El Cabo;Terrestre;Asparagaceae;Liliopsida;IP;No endémico;null
F00082;Drosanthemum floribundum (Haw.) Schwantes;Velo de Magdalena;Terrestre;Aizoaceae;Magnoliopsida;ISI;No endémico;null
F02063;Drosanthemum hispidum (L.) Schwantes;;Terrestre;Aizoaceae;Magnoliopsida;ISI;No endémico;1
F00831;Drusa glandulosa (Poir.) H. Wolff ex Engl.;Pegajosa;Terrestre;Apiaceae;Magnoliopsida;NS;No endémico;4
F00049;Dryopteris aemula (Aiton) Kuntze;;Terrestre;Dryopteridaceae;Filicopsida;NS;No endémico;1
F02170;Dryopteris affinis (Lowe) Fraser-Jenk.;;Terrestre;Dryopteridaceae;Filicopsida;NS;No endémico;1
F00050;Dryopteris affinis (Lowe) Fraser-Jenk. subsp. affinis;;Terrestre;Dryopteridaceae;Filicopsida;NS;No endémico;null
F00051;Dryopteris guanchica Gibby & Jermy;Helecho penco dentado;Terrestre;Dryopteridaceae;Filicopsida;NS;No endémico;10
F00052;Dryopteris oligodonta (Desv.) Pic.-Serm.;Helecha;Terrestre;Dryopteridaceae;Filicopsida;NS;No endémico;3
E06591;Dudresnaya abbottiae Afonso-Carrillo & Tabares;;Marino;Dumontiaceae;Florideophyceae;NP;No endémico;null
E03323;Dudresnaya canariensis Tabares  Afonso-Carrillo  Sansón & Reyes;Baba canaria;Marino;Dumontiaceae;Florideophyceae;NS;Endémico;null
E03325;Dudresnaya crassa Howe;;Marino;Dumontiaceae;Florideophyceae;NP;No endémico;1
E03327;Dudresnaya multiramosa Afonso-Carr.  M. Sansón et J. Reyes;Baba ramosa;Marino;Dumontiaceae;Florideophyceae;NS;Endémico;null
E03328;Dudresnaya verticillata (Withering) Le Jolis;;Marino;Dumontiaceae;Florideophyceae;NP;No endémico;null
E03331;Dumontia canariensis Montagne;;Marino;Dumontiaceae;Florideophyceae;NS;Endémico;null
C00025;Dumortiera hirsuta (Sw.) Nees;Hepática de Dumortier;Terrestre;Marchantiaceae;Marchantiopsida;NP;No endémico;null
E01753;Dunaliella salina (Dunal) Teodoresco;;Marino;Dunaliellaceae;Chlorophyceae;NP;No endémico;null
F00259;Dysphania ambrosioides (L.) Mosyakin & Clemants;Pasote;Terrestre;Chenopodiaceae;Magnoliopsida;ISN;No endémico;2
E06936;Dysphania anthelmintica (L.) Mosyakin & Clemants;;Terrestre;Chenopodiaceae;Magnoliopsida;ISN;No endémico;null
F00262;Dysphania multifida (L.) Mosyakin & Clemants;Cenizo fino;Terrestre;Chenopodiaceae;Magnoliopsida;ISN;No endémico;null
F00996;Ecballium elaterium (L.) A. Rich. in Bory;Pepinillo del diablo;Terrestre;Cucurbitaceae;Magnoliopsida;ISI;No endémico;4
F01941;Echinochloa colonum (L.) Link;Barba de indio;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01942;Echinochloa crus-galli (L.) P. Beauv.;Mijo japonés;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02381;Echinochloa crus-galli (L.) P. Beauv. subsp. spiralis (Vasing) Tzvelev;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
C00247;Echinodium spinosum (Mitt.) Jur.;;Terrestre;Echinodiaceae;Bryopsida;NP;No endémico;8
F01170;Echium acanthocarpum Svent.;Tajinaste gomero  tajinaste rosado  tajinaste azul;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;5
F01171;Echium aculeatum Poir.;Ajinajo;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;5
F01172;Echium auberianum Webb & Berthel.;Tajinaste picante;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;8
F01173;Echium bethencourtii A. Santos;Arrebol de Guelguén;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01174;Echium bonnetii Coincy;Viborina canaria  lengua de vaca;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;3
F01175;Echium brevirame Sprague & Hutch.;Arrebol  taginaste;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01176;Echium callithyrsum Webb ex Bolle;Tajinaste azul de Gran Canaria;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;1
F02221;Echium decaisnei Webb & Berthel.;;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;5
F01177;Echium decaisnei Webb subsp. decaisnei;Tajinaste blanco;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01178;Echium decaisnei Webb subsp. purpuriense Bramwell;Tajinaste blanco oriental;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F01179;Echium gentianoides Webb ex Coincy;Tajinaste palmero de cumbre;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;4
F01180;Echium giganteum L. f.;Taginaste gigante;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;3
F01181;Echium handiense Svent.;Tajinaste de Jandía;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;8
F01182;Echium hierrense Webb ex Bolle;Ajinajo herreño  tajinaste herreño;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F02354;Echium horridum Batt.;;Terrestre;Boraginaceae;Magnoliopsida;NS;No endémico;null
F01183;Echium lancerottense Lems & Holzapfel;Viborina de Lanzarote  lengua de vaca;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;6
F01184;Echium leucophaeum (Webb ex Christ) Webb ex Sprague & Hutch.;Taginaste de Anaga;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;4
F02222;Echium onosmifolium Webb & Berthel.;;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;4
F01185;Echium onosmifolium Webb subsp. onosmifolium;Taginaste negro;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01186;Echium onosmifolium Webb subsp. spectabile G. Kunkel;Taginaste de Güí-Güí;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;4
F01187;Echium pininana Webb & Berthel.;Pininana;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F01188;Echium plantagineum L.;Palomina  zuaja  lengua oveja  viborina;Terrestre;Boraginaceae;Magnoliopsida;NP;No endémico;5
F01189;Echium simplex DC.;Taginaste simple  arrebol ;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F02093;Echium strictum L. f.;Tajinaste rosado;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F01191;Echium strictum L. f. subsp. exasperatum (Webb ex Coincy) Bramwell;Tajinastechico tinerfeño  tajinaste rosado;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01192;Echium strictum L. f. subsp. gomerae (Pit.) Bramwell;Taginaste chico gomero  tajinaste rosado;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01190;Echium strictum L. f. subsp. strictum;Taginaste chico canario;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F01193;Echium sventenii Bramwell;Taginaste de Adeje;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F02223;Echium triste Svent.;;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01195;Echium triste Svent. subsp. nivariense (Svent.) Bramwell;Viborina triste;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;3
F01194;Echium triste Svent. subsp. triste;Viborina triste de Gran Canaria;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01196;Echium virescens DC.;Tajinaste azul de Tenerife;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;5
F01197;Echium webbii Coincy;Arrebol azul;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;2
F02224;Echium wildpretii H. Pearson ex Hook. f.;;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;null
F01199;Echium wildpretii Pearson ex Hook. f. subsp. trichosiphon (Svent.) Bramwell;Tajinaste rosado;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;1
F01198;Echium wildpretii Pearson ex Hook. f. subsp. wildpretii;Taginaste rojo  orgullo de Tenerife;Terrestre;Boraginaceae;Magnoliopsida;NS;Endémico;9
E06937;Eclipta prostrata (L.) L.;;Terrestre;Asteraceae;Magnoliopsida;ISN;No endémico;null
F01943;Ehrharta longiflora Sm.;Avenilla fina;Terrestre;Poaceae;Liliopsida;ISN;No endémico;null
